timestamp,participant_id,load_kw,gen_kw,battery_kwh
2016-06-10T23:00:00,solar_home,0.204,0.0,6.868
2016-06-10T23:15:00,solar_home,0.152,0.0,6.83
2016-06-10T23:30:00,solar_home,0.196,0.0,6.781
2016-06-10T23:45:00,solar_home,0.284,0.0,6.71
2016-06-10T00:00:00,household,0.0,0.0,2.0
2016-06-10T00:15:00,household,0.16,0.0,1.96
2016-06-10T00:30:00,household,0.12,0.0,1.93
2016-06-10T00:45:00,household,0.12,0.0,1.9
2016-06-10T01:00:00,household,0.14,0.0,1.865
2016-06-10T01:15:00,household,0.14,0.0,1.83
2016-06-10T01:30:00,household,0.14,0.0,1.795
2016-06-10T01:45:00,household,0.1,0.0,1.77
2016-06-10T02:00:00,household,0.04,0.0,1.76
2016-06-10T02:15:00,household,0.08,0.0,1.74
2016-06-10T02:30:00,household,0.04,0.0,1.73
2016-06-10T02:45:00,household,0.04,0.0,1.72
2016-06-10T03:00:00,household,0.08,0.0,1.7
2016-06-10T03:15:00,household,0.12,0.0,1.67
2016-06-10T03:30:00,household,0.16,0.0,1.63
2016-06-10T03:45:00,household,0.3,0.0,1.555
2016-06-10T04:00:00,household,0.2,0.0,1.505
2016-06-10T04:15:00,household,0.34,0.0,1.42
2016-06-10T04:30:00,household,0.2,0.0,1.37
2016-06-10T04:45:00,household,0.92,0.0,1.14
2016-06-10T05:00:00,household,0.2,0.0,1.09
2016-06-10T05:15:00,household,0.2,0.0,1.04
2016-06-10T05:30:00,household,0.18,0.0,0.995
2016-06-10T05:45:00,household,0.2,0.0,0.945
2016-06-10T06:00:00,household,0.16,0.0,0.905
2016-06-10T06:15:00,household,0.14,0.0,0.87
2016-06-10T06:30:00,household,0.16,0.0,0.83
2016-06-10T06:45:00,household,0.12,0.0,0.8
2016-06-10T07:00:00,household,0.16,0.0,0.76
2016-06-10T07:15:00,household,1.06,0.0,0.495
2016-06-10T07:30:00,household,0.26,0.0,0.43
2016-06-10T07:45:00,household,0.08,0.0,0.41
2016-06-10T08:00:00,household,1.14,0.0,0.125
2016-06-10T08:15:00,household,1.4,0.0,0.0
2016-06-10T08:30:00,household,0.18,0.0,0.0
2016-06-10T08:45:00,household,0.14,0.0,0.0
2016-06-10T09:00:00,household,0.3,0.0,0.0
2016-06-10T09:15:00,household,0.26,0.0,0.0
2016-06-10T09:30:00,household,0.42,0.0,0.0
2016-06-10T09:45:00,household,0.86,0.0,0.0
2016-06-10T10:00:00,household,0.24,0.0,0.0
2016-06-10T10:15:00,household,0.18,0.0,0.0
2016-06-10T10:30:00,household,0.78,0.0,0.0
2016-06-10T10:45:00,household,0.18,0.0,0.0
2016-06-10T11:00:00,household,0.16,0.0,0.0
2016-06-10T11:15:00,household,0.16,0.0,0.0
2016-06-10T11:30:00,household,0.2,0.0,0.0
2016-06-10T11:45:00,household,0.12,0.0,0.0
2016-06-10T12:00:00,household,0.18,0.0,0.0
2016-06-10T12:15:00,household,0.58,0.0,0.0
2016-06-10T12:30:00,household,0.04,0.0,0.0
2016-06-10T12:45:00,household,0.22,0.0,0.0
2016-06-10T13:00:00,household,0.26,0.0,0.0
2016-06-10T13:15:00,household,0.12,0.0,0.0
2016-06-10T13:30:00,household,0.08,0.0,0.0
2016-06-10T13:45:00,household,0.52,0.0,0.0
2016-06-10T14:00:00,household,0.18,0.0,0.0
2016-06-10T14:15:00,household,0.18,0.0,0.0
2016-06-10T14:30:00,household,0.16,0.0,0.0
2016-06-10T14:45:00,household,0.2,0.0,0.0
2016-06-10T15:00:00,household,0.18,0.0,0.0
2016-06-10T15:15:00,household,0.18,0.0,0.0
2016-06-10T15:30:00,household,0.36,0.0,0.0
2016-06-10T15:45:00,household,0.3,0.0,0.0
2016-06-10T16:00:00,household,0.32,0.0,0.0
2016-06-10T16:15:00,household,0.14,0.0,0.0
2016-06-10T16:30:00,household,0.2,0.0,0.0
2016-06-10T16:45:00,household,0.16,0.0,0.0
2016-06-10T17:00:00,household,0.16,0.0,0.0
2016-06-10T17:15:00,household,0.18,0.0,0.0
2016-06-10T17:30:00,household,0.14,0.0,0.0
